PART NUMBER	NAME	MAKE/MODEL	CATEGORY
13101-54101	Piston	LAND CRUISER 79	Genuine
31232-36020	Clutch Release Clip	LAND CRUISER 79	Koyo japan
23380-17541	Feed Pump	LAND CRUISER 79	555(Japan)
SWT10108ZZ	Piston rings(STD)	LAND CRUISER 75 Tourist	NPR
90916-02452	Fan belt(set)	LAND CRUISER 79	OSK
04479-60070	Caliper Kit Front	LAND CRUISER 79	Genuine
23390-0L041	Fuel Filter	LAND CRUISER 79	Genuine
LM48548/10	wheel bearing	5L/3L	Aisin
PT-152	Heater Plugs	Prado 1KD	Japan
17801-61030	Air filter	LAND CRUISER 79 Old Model	Aisin
17567-17020	Exhaust Mountain	1HZ	Genuine
13711-30030	Intake Valve	7L	Genuine
GUT-20	Universal joint	LAND CRUISER 79(rear)	OSK
D2177M-01	Brake Pads	LAND CRUISER 79	555(Japan)
13711-54050	Exhaust Valve	HIACE 5L	MK
31230-60201	Release Bearing(0.25)	LAND CRUISER 79	Genuine
13711-30040	Intake Valve	2KD	Taiho
48674-26040	Control Arm Bush	7L	OSK
90201-12019	Knucle washer	LAND CRUISER 70 Series	Genuine
13101-54101	Piston	3L	Taiho
CTX-084	Pressure Plate	LAND CRUISER 75 Tourist	Japan(Aisin)
04234-68010	Fuel Filter	Prado 1KD	OSK
48702-60050	Big Arm bush	LAND CRUISER 79	Genuine
90915-03002	Oil Filter	7L	Digue
33037-60050	Synchronizer ring (No 2)(0.25)	LAND CRUISER 79	Genuine
13568-19195	Timing Belt	LAND CRUISER 79	Genuine
90942-02083	Wheel stand	LAND CRUISER 79	Digue
SB-3972	Ball joint	7L	Taiho
15122-54020	Oil Gear	7L	Genuine
90311-42036	Seal(Front timing seal)	7L	Genuine
220-40582	Clutch kit Lower	5L/3L	GMB Japan
13711-54040	Exhaust Valve	HIACE 3L/79(IHZ)	Genuine
LM48548/10	wheel bearing(STD)	5L/3L	Koyo japan
90385-11021	Rear Link Bush/eye Bush	LAND CRUISER 79	555(Japan)
48511-69435	Shock Absorber(Front long)	7L	Genuine
90561-30005	Spacer	LAND CRUISER 70 Series	Genuine
12303-72010-IN	Gear Mounting	3L/5L	All Parts
CTX--064	Pressure Plate	LAND CRUISER 70 Series	Aisin
31210-36330	Pressure Plate	LAND CRUISER 79	All Parts
43521-60011	Stopper axle nut	LAND CRUISER 79	Aisin
4094w	Axle bearing(with con)	LAND CRUISER 70 Series	Koyo japan
48674-26040	Control Arm Bush(STD)	7L	Genuine
M720AI	Main Bearing(STD)	7L	Taiho
23380-17451	Feed Pump	7L	Genuine
M729AI	Main Bearing(0.25)	1TR/2TR	All Parts
13101-54101	Piston	5L/3L	Genuine
15121-54020	Oil Gear	3L/5L	OSK
04493-60300	BMC kit	1HZ	Genuine
R039A	Con bearing(0.25)	7L	Taiho
17567-61030	Exhaust Mountain	LAND CRUISER 79	OSK
90385-13009	Front Link Bush/ Eye Bush	LAND CRUISER 79	GMB Japan
CTX--064	Pressure Plate	5L/3L	OSK
90363-35020	Gear bearing	LAND CRUISER 79	OSK
90501-08212	Compression Spring	LAND CRUISER 79	GMB Japan
SE-2752	Tie Rod	LAND CRUISER 79	Koyo japan
17801-17020	Air filter	LAND CRUISER 70 Series	Genuine
69058-60141	Fuel cap	LAND CRUISER 79	OSK
GWT-91A	Water Pump	LAND CRUISER 79	Taiho
90311-85009	Seal(Rear crunk shaft)	3L/5L	555(Japan)
90311-48022	Seal (Gear transfer Front seal)	LAND CRUISER 79	Digue
M729AI	Main Bearing(0.50)	1TR/2TR	GMB Japan
90389-22003	Rear Spring Bush	LAND CRUISER 79	555(Japan)
R720AI	Con Bearing(STD)	Prado 1KD	Taiho
48702-60050	Big Arm bush	5L/3L	Genuine
13568-19195	Timing Belt	5L/3L	Genuine
R729A	Con Bearing(0.50)(STD)	1TR/2TR	Taiho
90215-42025	Stopper axle Washer	LAND CRUISER 79	MK
47201-60A70	Brake Master cylinder	LAND CRUISER 79	MK
GFT-223	Coupling/ Fan clutch	LAND CRUISER 75 Tourist	GMB Japan
13011-15050	Piston rings(STD)	5AF	Koyo japan
APO72	Brake Pads	LAND CRUISER 79	All Parts
DT-094L	Clutch plate	1KD/1HZ79	Genuine
12303-72010-IN	Gear Mounting	LAND CRUISER 70 Series	RBI
43207-60032	Knuckle kit/Blanket	LAND CRUISER 79	Koyo japan
GWT-91A	Water Pump	1HZ	GMB Japan
R039A	Con Bearing(STD)(0.25)	3L/5L/2L	Taiho
16572-17020	Hose Pipe(lower)	1HZ	Genuine
90311-32020	Seal(Cam shaft)	3L/5L 1HZ	555(Japan)
43212-60251	Knucle	Prado 1KD	Genuine
90915-30002-8T	Oil Filter	LAND CRUISER 79/5L	555(Japan)
BMT--239	Brake Master cylinder	LAND CRUISER 79	Taiho
4094w	Axle bearing(with con)(0.50)	5L/3L/1KD	Koyo japan
90310-36003	Seal (Rear tube seal)	LAND CRUISER 79	Taiho
M720AI	Main Bearing(STD)(STD)	1KD/2KD/1KZ	Taiho
M087H	Main Bearing(0.50)	TD23/TD25/TD27	All Parts
R039A	Con bearing(0.25)(STD)	3L/5L/2L	Taiho
13711-54040	Exhaust Valve	LAND CRUISER 79	Genuine
36211-60090	Connector shaft	LAND CRUISER 79	GMB Japan
23390-51070	Fuel Filter	LAND CRUISER 79	Taiho
90151-60013	Screw(water pump)	1TR/2TR	All Parts
13711-30030	Intake Valve	1KD	GMB Japan
13013-54120	Piston rings(0.50)	3L	Aisin
16210-17070	Coupling/ Fan clutch	LAND CRUISER 79	Koyo japan
04111-0C098	Overhaul gasket	Prado 1KD	Genuine
23303-64019	Oil Filter	LAND CRUISER 70 Series	OSK
09340-6280	Nozzle	LAND CRUISER 79	All Parts
04311-6100	Upper clutch kit	LAND CRUISER 79	OSK
13711-17010	Intake Valve	LAND CRUISER 79	555(Japan)
45047-69085	Rear Tie Rod	LAND CRUISER 79	Koyo japan
90310-35010	Seal (Front tube seal)	Prado 1KD	Genuine
13715-30030	Exhaust Valve	1KD	OSK
APO72	Brake Pads	Prado	Genuine
33368-35080	synchronizer ring (No 3)(new model)	LAND CRUISER 79	Aisin
48531-80547	Shock Absorber(Rear)	3L/5L	Genuine
42323-60020	Conn washer	LAND CRUISER 79	Genuine
04495-60080	Brake Lining	LAND CRUISER 79 (NEW MODEL	Taiho
90201-12019	Knucle washer	LAND CRUISER 79	Taiho
13711-54050	Exhaust Valve	HIACE 5L	Digue
90389-14056	Rear Spring Bush	LAND CRUISER 79	All Parts
31230-60201	Release Bearing	LAND CRUISER 79	Aisin
ZA-50TKB3505B1R-81`2	Release Bearing	3L	GMB Japan
90363-35030	Transfer Input Bearing	LAND CRUISER 79	GMB Japan
CTX--076	Pressure Plate	ITR/2TR	Digue
T720A	Thrust washer(0.25)	1KD/2KD/1KZ	Aisin
23390-51030	Fuel Filter	LAND CRUISER 79 New Model	OSK
PT-157	Heater Plugs	LAND CRUISER 70 Series	Japan
T037A	Thrust washer(STD)	3L/5L/2L	Aisin
DTX-172	Clutch plate	Prado 1KD	Japan(Aisin)
M720AI	Main Bearing(0.25)	1KD/2KD/1KZ	OSK
13101-54101a	Piston	3L	Genuine
48061-60050	Small Arm bush	LAND CRUISER 70 Series	Genuine
04495-60070	Brake Lining	LAND CRUISER 79 (OLD MODEL	All Parts
12361-17020	Engine Mounting	LAND CRUISER 79	Genuine
15122-54020	Oil Gear	3L/5L	All Parts
CTX--064	Pressure Plate	LAND CRUISER 75 Tourist	Aisin
90311-42036	Seal(Front timing seal)	3L/5L	All Parts
53420-60100	bonnet hinge	Prado 1KD	Genuine
90311-50051	Seal(Front crunk shaft seal)	LAND CRUISER 75 Tourist	Genuine
43401-60080	Stopper Axle	LAND CRUISER 79	MK
90311-58006	Seal(Injector seal)	1KD/2KD	555(Japan)
90999-70067	Copper bush	LAND CRUISER 70 Series	Karson
200701	Release Bearing	7L	Nachi
46410-60850	Handbrake cable	LAND CRUISER 75 Tourist	Genuine
13711-54030	Intake Valve	HIACE 5L	All Parts
90915-10004	Oil Filter	RAV 4	OSK
48531-69865	Shock Absorber(Rear)	LAND CRUISER 79	OSK
M087H	Main Bearing(0.25)(STD)	TD23/TD25/TD27	Taiho
16572-17150	Hose Pipe(lower)	LAND CRUISER 70 Series	Genuine
04493-60300	BMC kit	LAND CRUISER 79	MK
33362-60031	hub	LAND CRUISER 75 Tourist	Genuine
90311-85007	3L/5L	LAND CRUISER 70 Series	Genuine
CTX-073	Pressure Plate	3L	All Parts
T720A	Thrust washer(0.50)	Prado 1KD	Taiho
M042AI	Main Bearing(0.25)	LAND CRUISER 75 Tourist	Taiho
90915-03002	Oil Filter	1KD/2KD	Aisin
T729A	Thrust washer(0.50)	1HZ	Taiho
48815-60170	Front Stabilizer D Bush	LAND CRUISER 79	555(Japan)
48531-80547	Shock Absorber(Rear)	LAND CRUISER 75 Tourist	Genuine
69802-60030	welding Machine(left hand)(automatic)	LAND CRUISER 79	Genuine
90311-38047	Seal (diff)	7L	Genuine
90364-38011	Needle Bearing(gear)	LAND CRUISER 79	Aisin
4094w	Axle bearing (without con)	5L/3L/1KD	All Parts
88440-35010	Ac Pulley	5L/3L	Genuine
90215-42025	Stopper axle Washer	LAND CRUISER 79	Digue
12303-72010-IN	Gear Mounting	LAND CRUISER 75 Tourist	RBI
36225-60050	Shaft	LAND CRUISER 79	All Parts
T037A	Thrust washer(0.50)	LAND CRUISER 70 Series	Taiho
220-40582	Clutch kit Lower	5L/3L	OSK
43521-60011	Wheel Bearing Adjustment Kit	LAND CRUISER 79	Koyo japan
04465-60340	Pad Kit Disc Brake Front	7L	Genuine
CTX-125	Pressure Plate	2KD	555(Japan)
GWT-150A	Water Pump	1KD/2KD	All Parts
M720AI	Main Bearing(0.50)	1KD/2KD/1KZ	Aisin
R720AI	Con bearing(0.25)	7L	Taiho
48815-26060	Rear Stabilizer D Bush	LAND CRUISER 79	Koyo japan
90311-38047	Seal (diff)	3L/5L (2 wheel)	Koyo japan
Wheel-Nut	LAND CRUISER 79	5L/3L	Genuine
4094w	Axle bearing(with con)	5L/3L/1KD	MK
T729A	Thrust washer(0.50)	1TR/2TR	Koyo japan
04371-60060	Universal joint FRONT	LAND CRUISER 79	Genuine
M720AI	Main Bearing(0.50)	LAND CRUISER 70 Series	Taiho
35987	Piston rings(STD)	1KD	Aisin
33037-60050	Synchronizer ring (No 2)	1HZ	Genuine
90366-33006	Diff Bearing	Prado 1KD	Genuine
R729A	Con bearing(0.25)	1TR/2TR	555(Japan)
17801-30080	Air filter	Genuine	Koyo japan
13103-30102	Piston(0.50)	5L/3L	Genuine
48511-69676	Shock Absorber(Front)	LAND CRUISER 79	Aisin
33368-35080	synchronizer ring (No 3)(new model)	1HZ	Genuine
LM48548/10	wheel bearing	5L/3L	MK
DT-068V	Clutch plate	HIACE 5L/3L/ITR/2TR	All Parts
17801-61030	Air filter	LAND CRUISER 79 Old Model	MK
R039A	Con Bearing(0.50)	3L/5L/2L	All Parts
M729AI	Main Bearing(STD)	1TR/2TR	Taiho
90311-32020	Seal(Cam shaft)	LAND CRUISER 79	Genuine
R729A	Con bearing(0.25)(0.25)	1TR/2TR	Taiho
R729A	Con Bearing(0.50)(0.25)	1TR/2TR	Taiho
35892	Piston rings(STD)	LAND CRUISER 70 Series	Tp(Japan)
31230-60201	Release Bearing	1HZ	Genuine
T037A	Thrust washer(STD)(STD)	3L/5L/2L	Taiho
M729AI	Main Bearing(0.50)	1TR/2TR	OSK
35892	Piston rings(0.50)	7L	Tp(Japan)
48706-60030	Hard Pan Bush	LAND CRUISER 79	GMB Japan
16361-17040	Fun	Prado 1KD	Genuine
17801-30040	Air filter	1KD/2KD	Taiho
90311-35032	Seal (diff)	7L	Genuine
PT-157	Heater Plugs	LAND CRUISER 75 Tourist	Japan
GUT-21	Universal joint	LAND CRUISER 79	GMB Japan
90385-18022	Rear Rubber Spring Bush	Prado 1KD	Genuine
43530-60130	Wheel Hub	7L	Aisin(japan)
90311-48023	Seal (Gear transfer Front seal)	LAND CRUISER 79	All Parts
M087H	Main Bearing(0.25)	TD23/TD25/TD27	Digue
11701-75033-02	Con Bearing(STD)	LAND CRUISER 79	Genuine
90311-85009	Seal(Rear crunk shaft)	3L/5L	OSK
13711-30040	Intake Valve	2KD	Aisin
43521-60011	Stopper axle nut	LAND CRUISER 79	MK
13101-54101	Piston	3L	Aisin
T729A	Thrust washer(STD)	Prado 1KD	Taiho
16210-17070	Coupling/ Fan clutch	1HZ	Genuine
SB-3972	Ball joint	7L	Aisin
23380-17531	Feed Pump	LAND CRUISER 79	Taiho
16572-17020	Hose Pipe(lower)	LAND CRUISER 79	555(Japan)
43401-60080	Stopper Axle	LAND CRUISER 79	Digue
90385-18022	Rear Rubber Spring Bush	7L	Genuine
M729AI	Main Bearing(0.50)(0.50)	1TR/2TR	Taiho
47910-35420	Compensiator	7L	Genuine
45045-69075	Tie rod Front	7L	Genuine
13711-30030	Intake Valve	1KD	OSK
GUT-21	Universal joint	5L/3L	555(Japan)
M720AI	Main Bearing(0.25)	7L	Taiho
43212-60111	Knucle	LAND CRUISER 79(Old Model)(left hand)	Digue
43207-60032	Knuckle kit/Blanket	LAND CRUISER 79	Digue
04371-36050	Universal joint REAR	LAND CRUISER 79	555(Japan)
13715-30030	Exhaust Valve	5L/3L	Genuine
90311-32020	Seal(Cam shaft)	5L/3L	Genuine
31204-36110	Fork	LAND CRUISER 79	Genuine
90366-33006	Diff Bearing	5L/3L	Genuine
90942-02083	Wheel stand	LAND CRUISER 79	GMB Japan
90364-38011	Needle Bearing(gear)	1HZ	Genuine
13011-31220	Piston rings(STD)	LAND CRUISER 70 Series	Genuine
11701-75033-02	Con Bearing(STD)	5L/3L	Genuine
13101-54101	Piston	LAND CRUISER 75 Tourist	Genuine
90363-35030	Transfer Input Bearing	LAND CRUISER 79	OSK
102949/10	Small Hub Bearing	LAND CRUISER 70 Series	Koyo japan
13011-54120	Piston rings(STD)(0.25)	3L	Genuine
54560-01j00	Big Arm bush	1HZ	Genuine
90311-31084	Valve Seal	LAND CRUISER 70 Series	Genuine
GWT-91A	Water Pump	LAND CRUISER 79	Aisin
45045-69075	Tie rod Front	LAND CRUISER 79	555(Japan)
13041-17011-02	Con Bearing(STD)	LAND CRUISER 79	Genuine
35987	Piston rings(STD)	LAND CRUISER 70 Series	Tp(Japan)
90385-18021	Front Rubber Spring Bush	LAND CRUISER 79	Taiho
31410-60591	Upper clutch cylinder	LAND CRUISER 79	Taiho
04313-28020	Lower clutch kit	LAND CRUISER 79	Digue
K2280-01	Brake Lining	1HZ	MK
1620-17050(FCT-039)	Coupling/ Fan clutch	LAND CRUISER 79	All Parts
DT-094L	Clutch plate	1HZ	Japan(Aisin)
13013-54120	Piston rings(0.50)	3L	MK
4094w	Axle bearing(with con)	5L/3L/1KD	Digue
53510-60220	Bonnet Lock	Prado 1KD	Genuine
BMT--239	Brake Master cylinder	LAND CRUISER 79	Aisin
90310-36003	Seal (Rear tube seal)	LAND CRUISER 79	Aisin
90311-48022	Seal (Gear transfer Front seal)	LAND CRUISER 79	GMB Japan
13101-54100a	Piston	2L	Genuine
33368-35080	synchronizer ring (No 3)(new model)	LAND CRUISER 79	MK
17801-61030	Air filter	LAND CRUISER 79 Old Model	Digue
23390-51070	Fuel Filter	LAND CRUISER 79	Aisin
16100-39486	Water Pump	1KD/2KD	All Parts
DTX-172	Clutch plate	LAND CRUISER 70 Series	Japan(Aisin)
31230-60201	Release Bearing	LAND CRUISER 79	MK
43212-60251	Knucle Steering	Prado 1KD	Genuine
43207-60032	Knuckle kit/Blanket	1HZ	Genuine
T720A	Thrust washer(0.25)	1KD/2KD/1KZ	MK
90310-35010	Seal (Front tube seal)	7L	Karson
T037A	Thrust washer(STD)	3L/5L/2L	MK
T037A	Thrust washer(0.50)(0.25)	3L/5L/2L	Taiho
45046-69135	Rear Tie Rod	LAND CRUISER 79	Digue
48824-60130	Bracket(Right)	7L	Genuine
04495-60080	Brake Lining	LAND CRUISER 79 (NEW MODEL	Aisin
04495-60070	Brake Lining	LAND CRUISER 79	Genuine
90201-12019	Knucle washer	LAND CRUISER 79	Aisin
90385-13009	Front Link Bush/ Eye Bush	Prado 1KD	Genuine
04311-6100	Upper clutch kit	Prado 1KD	genuine
90501-08212	Compression Spring	Prado 1KD	Genuine
M042AI	Main Bearing(STD)	3L/5L/2L	All Parts
M042AI	Main Bearing(STD)(STD)	3L/5L/2L	Taiho
R729A	Con Bearing(STD)	1TR/2TR	Taiho
48815-60170	Front Stabilizer D Bush	LAND CRUISER 79	OSK
13011-54120	Piston rings(STD)	7L	Genuine
90366-40111	Diff Bearing	LAND CRUISER 79	Koyo japan
23303-64019	Oil Filter	Prado 1KD	OSK
04479-60070	Caliper Kit Front	LAND CRUISER 79	MK
12361-54143	Engine Mounting	7L	RBI
17801-61030	Air filter	7L	Genuine
T037A	Thrust washer(0.50)	3L/5L/2L	Taiho
30304AJR	B	LAND CRUISER 79	555(Japan)
13711-30030	Intake Valve	LAND CRUISER 79	Genuine
12371-17080	Gearbox mounting	LAND CRUISER 75 Tourist	Genuine
33368-35040	synchronizer ring (No 4 old)	LAND CRUISER 75 Tourist	Genuine
3504	Release Bearing	2KD	Taiho
R720AI	Con Bearing(STD)	LAND CRUISER 75 Tourist	Taiho
90311-45028	Seal (front diff)	LAND CRUISER 79	Taiho
90915-03002	Oil Filter	1KD/2KD	MK
90311-32012	Seal (Top shaft seal)	1HZ	Genuine
13711-54050	Exhaust Valve	HIACE 5L	GMB Japan
48702-60050	Big Arm bush	LAND CRUISER 79	Koyo japan
47550-60120	Wheel cylinder	LAND CRUISER 70 Series	Genuine
48815-26060	Rear Stabilizer D Bush	LAND CRUISER 79	Digue
90311-35032	Seal (diff)	3L/5L (4x4)	All Parts
90364-38011	Needle Bearing(gear)	LAND CRUISER 79	MK
CTX--076	Pressure Plate	ITR/2TR	GMB Japan
48706-60030	Hard Pan Bush	LAND CRUISER 79	OSK
36211-60090	Connector shaft	Prado 1KD	Genuine
43212-60251	Knucle	LAND CRUISER 75 Tourist	Genuine
48511-69435	Shock Absorber(Front long)	LAND CRUISER 79	Genuine
R729A	Con bearing(0.25)	1TR/2TR	OSK
04495-60080	Brake Lining	Prado 1KD	Genuine
31232-36020	Clutch Release Clip	7L	Genuine
47061-60030	Adjuster(Right hand)	LAND CRUISER 79	All Parts
43212-60251	Knucle Steering	5L/3L	Genuine
M720AI	Main Bearing(STD)	LAND CRUISER 79	Taiho
04234-68010	Fuel Filter	LAND CRUISER 79	OSK
23380-17451	Feed Pump	LAND CRUISER 79	Genuine
M720AI	Main Bearing(0.50)	1KD/2KD/1KZ	MK
90948-01004	Front Shock Bush	1HZ	Genuine
GFT-223	Coupling/ Fan clutch	1HZ	GMB Japan
90310-35010	Seal (Front tube seal)	LAND CRUISER 75 Tourist	Genuine
11213-75040	Top cover Gasket	1TR	555(Japan)
R039A	Con bearing(0.25)	LAND CRUISER 79	Taiho
R039A	Con bearing(0.25)(0.50)	3L/5L/2L	Taiho
CTX-073	Pressure Plate	1HZ	Japan(Aisin)
R122h	Con Bearing(STD)	4D34	Koyo japan
90363-35030	Transfer Input Bearing	Prado 1KD	Genuine
13711-30030	Intake Valve	5L/3L	Genuine
LM48548/10	wheel bearing	1HZ	Koyo japan
90310-36003	Seal (Rear tube seal)	1HZ	Genuine
35987	Piston rings(STD)	1KD	MK
13101-54100a	Piston(0.50)	2L	Japan
31232-36020	Clutch Release Clip	LAND CRUISER 79	555(Japan)
04434-60080	Front Axle Gasket Kit	LAND CRUISER 79	Digue
33368-35090	synchronizer ring (No 4 new)(0.25)	LAND CRUISER 79	Genuine
69810-60330	Welding Machine(manual)	1HZ	Genuine
31210-36330	Pressure Plate	LAND CRUISER 79	Taiho
12303-72010-IN	Gear Mounting	3L/5L	Taiho
90366-33006	Diff Bearing(STD)	LAND CRUISER 79	Genuine
DTX-172	Clutch plate	LAND CRUISER 75 Tourist	Japan(Aisin)
90311-38032	Seal (Tail oil seal)	1HZ	Genuine
90942-02083	Wheel stand	LAND CRUISER 79	OSK
48511-69435	Shock Absorber(Front long)	5L/3L	Genuine
90311-41009	Seal (Rear diff)	5L/3L	Genuine
90215-42025	Stopper axle Washer	LAND CRUISER 79	GMB Japan
M729AI	Main Bearing(0.25)	1TR/2TR	Taiho
30304AJR	Knuckle bearing	7L	Koyo japan
M729AI	Main Bearing(STD)	1TR/2TR	Aisin
T037A	Thrust washer(STD)	3L/5L/2L	Digue
T720A	Thrust washer(0.25)	1KD/2KD/1KZ	Digue
90915-03006	Oil Filter	LAND CRUISER 79/5L	Genuine
90201-12019	Knucle washer	1HZ	Genuine
90385-18007	Rubber Spring Bush	HIACE 5L/3L	Digue
13101-54101	Piston	3L	MK
17801-30040	Air filter	1KD/2KD	Aisin
33037-60050	Synchronizer ring (No 2)(STD)	LAND CRUISER 79	Genuine
SB-3972	Ball joint	7L	MK
90311-65003	Seal(Injector seal)	1KD/2KD	Koyo japan
17801-30080	Air filter	LAND CRUISER 70 Series	Genuine
90561-30005	Spacer	1HZ	Genuine
