PART NUMBER	NAME	MAKE/MODEL	CATEGORY
90151-60013	Screw(water pump)	LAND CRUISER 70 Series	Genuine
CTX--064	Pressure Plate	1HZ	Aisin
4094w	Axle bearing(with con)	1HZ	Koyo japan
90366-40111	Diff Bearing	LAND CRUISER 70 Series	Genuine
42323-60020	Conn washer	LAND CRUISER 79	MK
M042AI	Main Bearing(0.25)(STD)	3L/5L/2L	Taiho
SE-2752	Tie Rod	LAND CRUISER 79	555(Japan)
47201-60A70	Brake Master cylinder	LAND CRUISER 70 Series	Genuine
48829-60080	Bracket(Left)	LAND CRUISER 70 Series	Genuine
23380-17531	Feed Pump	LAND CRUISER 79	Aisin
SWT10108ZZ	Piston rings(STD)	LAND CRUISER 70 Series	NPR
90311-48022	Seal (Gear transfer Front seal)	LAND CRUISER 79	OSK
47550-60120	Wheel cylinder	LAND CRUISER 75 Tourist	Genuine
DT-036V	Clutch plate	HIACE 2L/3L	Japan(Aisin)
90214-42030	Stopper axle Washer	LAND CRUISER 75 Tourist	Genuine
90311-62001	Seal (Hub)	Prado 1KD	Genuine
90363-35020	Gear bearing	LAND CRUISER 75 Tourist	Genuine
47061-60030	Adjuster(Right hand)	Prado 1KD	Genuine
88440-35010	Ac Pulley	LAND CRUISER 79	Koyo japan
31470-60290	Lower clutch Cylinder	LAND CRUISER 79	Koyo japan
45044-69135	Tie rod Front	7L	Genuine
11115-17010-05	Cylinder Head Cover Gasket	5L/3L	Genuine
12361-17020	Engine Mounting	LAND CRUISER 79	MK
17801-17020	Air filter	1HZ	Genuine
90364-38011	Needle Bearing(gear)	LAND CRUISER 79	Digue
13101-54101a	Piston	3L	Koyo japan
90151-60013	Screw(water pump)	1TR/2TR	Taiho
CTX-084	Pressure Plate	LAND CRUISER 70 Series	Japan(Aisin)
DT-036V	Clutch plate	1HZ	Japan(Aisin)
43212-60111	Knucle	Prado 1KD	Genuine
90915-YZZD4	Oil Filter	Prado 1KD	Genuine
GWT-91A	Water Pump	LAND CRUISER 79	MK
09340-6280	Nozzle	LAND CRUISER 79	Taiho
48531-80547	Shock Absorber(Rear)	1HZ	Genuine
13715-30030	Exhaust Valve	LAND CRUISER 75 Tourist	Genuine
43207-60032	Knuckle kit/Blanket	LAND CRUISER 79	555(Japan)
17201-30200	Turbo charger	7L	Super japan
48674-26040	Control Arm Bush	Prado 1KD	Genuine
90311-58006	Seal(Injector seal)	1KD/2KD	All Parts
43212-60251	Knucle	LAND CRUISER 79 New Model(left hand)	All Parts
13011-15050	Piston rings(STD)	5AF	555(Japan)
90915-10004	Oil Filter	LAND CRUISER 70 Series	Genuine
90366-33006	Diff Bearing	LAND CRUISER 75 Tourist	Genuine
200701	Release Bearing	LAND CRUISER 79	Nachi
M087H	Main Bearing(0.50)	5L/3L	Taiho
23390-51030	Fuel Filter	Prado 1KD	Genuine
43401-60080	Stopper Axle	LAND CRUISER 79	GMB Japan
33368-35040	synchronizer ring (No 4 old)(STD)	LAND CRUISER 79	Genuine
90311-42036	Seal(Front crunk shaft seal)	LAND CRUISER 75 Tourist	Genuine
17567-61030	Exhaust Mountain	LAND CRUISER 70 Series	Genuine
90389-14056	Rear Spring Bush	LAND CRUISER 79	Taiho
M720AI	Main Bearing(0.50)	1KD/2KD/1KZ	Digue
48706-60030	Hard Pan Bush	Prado 1KD	Genuine
M729AI	Main Bearing(0.25)	LAND CRUISER 79	Taiho
13041-17011-02	Con Bearing(STD)	7L	Genuine
T037A	Thrust washer(0.25)	7L	Taiho
43212-60111	Knucle	LAND CRUISER 79(Old Model)(left hand)	GMB Japan
90385-18021	Front Rubber Spring Bush	LAND CRUISER 79	Aisin
43207-60032	Knuckle kit/Blanket	LAND CRUISER 79	GMB Japan
35987	Piston rings(STD)	1KD	Digue
BMT--239	Brake Master cylinder	LAND CRUISER 79	MK
69810-60330	Welding Machine(manual)	LAND CRUISER 79(manual)	All Parts
04469-YZZF6	Brake Pads	5L/3L	Genuine
48511-69676	Shock Absorber(Front)	LAND CRUISER 79	Digue
04495-60070	Brake Lining	LAND CRUISER 79 (OLD MODEL	Taiho
15122-54020	Oil Gear	3L/5L	Taiho
33212-35032	Fork (Number 1)	7L	Genuine
45047-69085	Rear Tie Rod	LAND CRUISER 79	555(Japan)
23390-51070	Fuel Filter	LAND CRUISER 79	MK
90311-42036	Seal(Front timing seal)	3L/5L	Taiho
M042AI	Main Bearing(0.25)	3L/5L/2L	Genuine
13711-54050	Exhaust Valve	HIACE 5L	OSK
13013-54120	Piston rings(0.50)(STD)	3L	Genuine
CTX--076	Pressure Plate	ITR/2TR	OSK
13103-30102	Piston(0.50)	2KD	All Parts
PT-157	Heater Plugs	LAND CRUISER 79	Genuine
13711-54030	Intake Valve	HIACE 5L	Taiho
13711-54020	Intake Valve	HIACE 3L/79(IHZ)	All Parts
M720AI	Main Bearing(0.25)(0.50)	1KD/2KD/1KZ	Taiho
04465-60340	Pad Kit Disc Brake Front	LAND CRUISER 79	Genuine
90311-62001	Seal (Hub)	5L/3L	Genuine
104948/10	Big Hub Bearing	LAND CRUISER 79	Koyo japan
R720AI	Con bearing(0.25)	LAND CRUISER 79	Taiho
12371-17080	Gearbox mounting	LAND CRUISER 79	All Parts
15121-54020	Oil Gear	7L	Genuine
102949/10	Small Hub Bearing	7L	Koyo japan
33368-35040	synchronizer ring (No 4 old)	LAND CRUISER 79	All Parts
13711-30040	Intake Valve	2KD	Digue
31250-60432	Clutch plate	7L	Genuine
04313-28020	Lower clutch kit	LAND CRUISER 79	GMB Japan
CTX-073	Pressure Plate	3L	Taiho
33037-35030	Ring Synchronizer (No 1)	LAND CRUISER 79	All Parts
69801-60030	Welding Machine(right hand)(automatic)	LAND CRUISER 79	All Parts
200701	Release Bearing	5L/3L	Nachi
17801-30080	Air filter	LAND CRUISER 75 Tourist	Genuine
PT-157	Heater Plugs	1HZ	Japan
SB-3972	Ball joint	7L	Digue
KD2605	Brake Pads	7L	All Parts
KD2605	Brake Pads	LAND CRUISER 70 Series	Asimco
R729A	Con Bearing(STD)	1TR/2TR	Aisin
36225-60050	Shaft	LAND CRUISER 79	Taiho
43521-60011	Wheel Bearing Adjustment Kit	7L	Genuine
47201-60A70	Brake Master cylinder	LAND CRUISER 75 Tourist	Genuine
69820-60300	Welding Machine	5L/3L	Genuine
17801-61030	Air filter	LAND CRUISER 79 Old Model	GMB Japan
13101-54101	Piston(0.25)	3L	Genuine
35892	Piston rings(0.50)	LAND CRUISER 79	Tp(Japan)
90366-33006	Diff Bearing	LAND CRUISER 79	Koyo japan
48531-69865	Shock Absorber(Rear)	LAND CRUISER 75 Tourist	Genuine
90385-18007	Rubber Spring Bush(0.25)	HIACE 5L/3L	Genuine
43401-60080	Stopper Axle	LAND CRUISER 79	Japan
90311-35032	Seal (diff)	LAND CRUISER 79	Genuine
43530-60130	Wheel Hub	LAND CRUISER 79	Aisin(japan)
GWT-150A	Water Pump	1KD/2KD	Taiho
94115-71200	Knucle nut	LAND CRUISER 75 Tourist	Genuine
35987	Piston rings(STD)(0.25)	1KD	Tp(Japan)
90311-58006	Seal(Injector seal)	7L	Genuine
3504	Release Bearing	2KD	Aisin
90368-45087	Wheel Bearing Outer	LAND CRUISER 79	Taiho
90311-85007	3L/5L	1HZ	Genuine
90311-45028	Seal (front diff)	LAND CRUISER 79	Aisin
45046-69135	Rear Tie Rod	LAND CRUISER 79	GMB Japan
31230-60201	Release Bearing	5L/3L	Genuine
33368-35040	synchronizer ring (No 4 old)(0.50)	LAND CRUISER 79	Genuine
13101-54101a	Piston(0.25)	3L	Japan
43521-60011	Wheel Bearing Adjustment Kit	LAND CRUISER 79	555(Japan)
DT-068V	Clutch plate	HIACE 5L/3L/ITR/2TR	Taiho
R039A	Con Bearing(0.50)	3L/5L/2L	Taiho
90311-48023	Seal (Gear transfer Front seal)	Prado 1KD	Genuine
90385-18022	Rear Rubber Spring Bush	LAND CRUISER 79	Genuine
47910-35420	Compensiator	LAND CRUISER 79	Genuine
48815-26060	Rear Stabilizer D Bush	LAND CRUISER 79	555(Japan)
90311-38047	Seal (diff)	3L/5L (2 wheel)	555(Japan)
T729A	Thrust washer(0.50)	1TR/2TR	555(Japan)
M720AI	Main Bearing(0.25)	LAND CRUISER 79	Taiho
90948-01004	Front Shock Bush	LAND CRUISER 79	Digue
31410-60591	Upper clutch cylinder	1HZ	Genuine
GUT-20	Universal joint	LAND CRUISER 79(rear)	All Parts
90311-48023	Seal (Gear transfer Front seal)	LAND CRUISER 79	Taiho
T720A	Thrust washer(STD)	LAND CRUISER 70 Series	Taiho
17801-30080	Air filter	Genuine	555(Japan)
46410-60850	Handbrake cable	LAND CRUISER 70 Series	Genuine
90310-36003	Seal (Rear tube seal)	LAND CRUISER 79	Digue
BMT--239	Brake Master cylinder	LAND CRUISER 79	Digue
23390-0L041	Fuel Filter	5L/3L	Genuine
43212-60251	Knucle Steering	LAND CRUISER 75 Tourist	Genuine
90311-35032	Seal (diff)	5L/3L	Genuine
04479-60070	Caliper Kit Front	5L/3L	Genuine
47062-60020	Adjuster(Left hand)	LAND CRUISER 79	Koyo japan
13711-54030	Intake Valve	Prado 1KD	Genuine
48815-26060	Rear Stabilizer D Bush	LAND CRUISER 79	GMB Japan
43530-60130	Wheel Hub	5L/3L	Aisin(japan)
R122h	Con Bearing(STD)	5L/3L	Taiho
23390-51070	Fuel Filter	LAND CRUISER 79	Digue
53410-60100	bonnet hinge	Prado 1KD	Genuine
33362-60031	hub	LAND CRUISER 70 Series	Genuine
M042AI	Main Bearing(0.25)	LAND CRUISER 70 Series	Taiho
13041-17011-02	Con Bearing(STD)	LAND CRUISER 79	MK
13711-30030	Intake Valve	LAND CRUISER 75 Tourist	Genuine
4094w	Axle bearing (without con)	5L/3L/1KD	Genuine
M729AI	Main Bearing(STD)	1TR/2TR	MK
M087H	Main Bearing(0.25)	TD23/TD25/TD27	OSK
31210-36330	Pressure Plate	LAND CRUISER 79	Aisin
12303-72010-IN	Gear Mounting	3L/5L	Aisin
33037-35030	Ring Synchronizer (No 1)	Prado 1KD	Genuine
69801-60030	Welding Machine(right hand)(automatic)	Prado 1KD	Genuine
04469-YZZF6	Brake Pads	LAND CRUISER 70 Series	Genuine
04495-60080	Brake Lining	LAND CRUISER 79 (NEW MODEL	Digue
T720A	Thrust washer(0.25)(0.50)	1KD/2KD/1KZ	Taiho
90201-12019	Knucle washer	LAND CRUISER 79	Digue
33364-60070	Sleeve Transmission	5L/3L	Genuine
17801-30040	Air filter	1KD/2KD	MK
M729AI	Main Bearing(0.25)	1TR/2TR	Aisin
15121-54020	Oil Gear	3L/5L	All Parts
T037A	Thrust washer(STD)	LAND CRUISER 70 Series	Taiho
R720AI	Con Bearing(STD)	7L	Taiho
M729AI	Main Bearing(0.50)	7L	Taiho
43401-60080	Stopper Axle	LAND CRUISER 79	OSK
90311-31084	Valve Seal	1TR/2TR	Koyo japan
33368-35090	synchronizer ring (No 4 new)	LAND CRUISER 70 Series	Genuine
90363-35020	Gear bearing	LAND CRUISER 79	All Parts
90389-22003	Rear Spring Bush	LAND CRUISER 75 Tourist	Genuine
04434-60080	Front Axle Gasket Kit	LAND CRUISER 79	GMB Japan
13101-54100a	Piston	2L	Koyo japan
90561-30005	Spacer	LAND CRUISER 79	Digue
90311-62001	Seal (Hub)	LAND CRUISER 70 Series	Genuine
43212-60111	Knucle	LAND CRUISER 79(Old Model)(left hand)	OSK
43207-60032	Knuckle kit/Blanket	LAND CRUISER 79	OSK
13011-15050	Piston rings(STD)	5AF	OSK
23380-17531	Feed Pump	LAND CRUISER 79	MK
R720AI	Con Bearing(STD)	1KD/2KD/1KZ	Genuine
04495-60080	Brake Lining	LAND CRUISER 75 Tourist	Genuine
23390-51070	Fuel Filter	5L/3L	Digue
43212-60251	Knucle	7L	Genuine
90310-35010	Seal (Front tube seal)	LAND CRUISER 79	Karson
R720AI	Con Bearing(STD)	1HZ	Taiho
90364-38012	Needle Bearing(gear)	7L	Genuine
90311-45028	Seal (front diff)	1HZ	Genuine
130011-3061	Piston rings(0.25)	2KD	Genuine
T720A	Thrust washer(0.25)	1KD/2KD/1KZ	GMB Japan
SWT10108ZZ	Piston rings(STD)(0.50)	4AC,4A-LC	NPR
04111-0C098	Overhaul gasket	7L	Genuine
90385-18007	Rubber Spring Bush	HIACE 5L/3L	GMB Japan
43212-60251	Knucle Steering	LAND CRUISER 79	Koyo japan
13011-31220	Piston rings(STD)	1HZ	Genuine
90363-35030	Transfer Input Bearing	LAND CRUISER 75 Tourist	Genuine
69820-60300	Welding Machine	LAND CRUISER 70 Series	Genuine
13011-54120	Piston rings(STD)	LAND CRUISER 79	Genuine
43530-60130	Wheel Hub	LAND CRUISER 79	Genuine
90310-35010	Seal (Front tube seal)	7L	Genuine
M087H	Main Bearing(0.50)	TD23/TD25/TD27	Aisin
13715-30040	Exhaust Valve	2KD	Koyo japan
17801-61030	Air filter	LAND CRUISER 79	Genuine
16100-39486	Water Pump	1KD/2KD	Taiho
04313-28020	Lower clutch kit	LAND CRUISER 79	OSK
90311-65003	Seal(Injector seal)	Prado 1KD	Genuine
90151-60013	Screw(water pump)	1TR/2TR	Aisin
R122h	Con Bearing(STD)(0.25)	4D34	Taiho
90365-34005	Gear bearing(STD)	LAND CRUISER 79	Genuine
09340-6280	Nozzle	LAND CRUISER 79	Aisin
35987	Piston rings(STD)	1HZ	Tp(Japan)
90215-42025	Stopper axle Washer	Prado 1KD	Genuine
K2280-01	Brake Lining	LAND CRUISER 79	Genuine
T720A	Thrust washer(STD)	LAND CRUISER 75 Tourist	Taiho
M042AI	Main Bearing(0.50)	5L/3L	Taiho
31230-60201	Release Bearing	LAND CRUISER 70 Series	Genuine
90916-02452	Fan belt(set)	7L	Genuine
T729A	Thrust washer(STD)	1TR/2TR	All Parts
R039A	Con Bearing(0.50)(0.25)	3L/5L/2L	Taiho
33362-35030	Hub	LAND CRUISER 79(old model)	Koyo japan
90385-19003	Rear Shock Bush	LAND CRUISER 70 Series	Genuine
90389-14056	Rear Spring Bush	LAND CRUISER 79	Aisin
90310-35010	Seal (Front tube seal)	5L/3L	Karson
M042AI	Main Bearing(STD)	3L/5L/2L	Taiho
23390-51030	Fuel Filter	LAND CRUISER 79 New Model	All Parts
90311-85009	Seal(Rear crunk shaft)	7L	Genuine
48511-69435	Shock Absorber(Front long)	LAND CRUISER 79	Koyo japan
90311-41009	Seal (Rear diff)	LAND CRUISER 79	Koyo japan
90364-38011	Needle Bearing(gear)	LAND CRUISER 79	GMB Japan
M720AI	Main Bearing(0.25)	1KD/2KD/1KZ	All Parts
90365-34005	Gear bearing	7L	Genuine
04495-60070	Brake Lining	LAND CRUISER 79 (OLD MODEL	Aisin
15122-54020	Oil Gear	3L/5L	Aisin
90311-42036	Seal(Front timing seal)	3L/5L	Aisin
DTX-172	Clutch plate	1HZ	Japan(Aisin)
M729AI	Main Bearing(STD)	1TR/2TR	Digue
45046-69135	Rear Tie Rod	LAND CRUISER 79	OSK
09340-6280	Nozzle	LAND CRUISER 70 Series	Denso
04469-YZZF6	Brake Pads	LAND CRUISER 75 Tourist	Genuine
33368-35030	synchronizer ring (No 3)(old model)	LAND CRUISER 79	Genuine
4094w	Axle bearing (without con)(0.25)	5L/3L/1KD	Koyo japan
48061-60050	Small Arm bush	LAND CRUISER 79	Genuine
53420-60100	bonnet hinge	1HZ	Genuine
48702-60050	Big Arm bush	7L	Genuine
04371-60060	Universal joint FRONT	Prado 1KD	Genuine
Ge	Brake Pads	V8	Koyo japan
M720AI	Main Bearing(0.50)	1KD/2KD/1KZ	GMB Japan
90915-10004	Oil Filter	RAV 4	All Parts
17801-30040	Air filter	1KD/2KD	Digue
13711-54030	Intake Valve	HIACE 5L	Aisin
17801-17020	Air filter	V8	Genuine
90366-40111	Diff Bearing	LAND CRUISER 79	555(Japan)
48531-69865	Shock Absorber(Rear)	LAND CRUISER 79	All Parts
90311-35032	Seal (diff)	3L/5L (4x4)	Taiho
1620-17050(FCT-039)	Coupling/ Fan clutch	LAND CRUISER 79	Genuine
35987	Piston rings(STD)	1KD	GMB Japan
90999-70067	Copper bush	LAND CRUISER 79	Karson
90311-62001	Seal (Hub)	LAND CRUISER 75 Tourist	Genuine
R729A	Con Bearing(STD)	1TR/2TR	MK
CTX-073	Pressure Plate	3L	Aisin
48511-69676	Shock Absorber(Front)	LAND CRUISER 79	GMB Japan
R122h	Con Bearing(STD)(0.50)	4D34	Taiho
47061-60030	Adjuster(Right hand)	LAND CRUISER 79	Taiho
43521-60011	Wheel Bearing Adjustment Kit	LAND CRUISER 79	OSK
69058-60141	Fuel cap	7L	Genuine
4094w	Axle bearing (without con)	5L/3L/1KD	Aisin
48702-60050	Big Arm bush	LAND CRUISER 79	555(Japan)
30304AJR	Knuckle bearing	LAND CRUISER 79	Koyo japan
23380-17541	Feed Pump	LAND CRUISER 79	All Parts
48815-26060	Rear Stabilizer D Bush	LAND CRUISER 79	OSK
11115-17010-05	Cylinder Head Cover Gasket	LAND CRUISER 79	Koyo japan
48674-26040	Control Arm Bush	LAND CRUISER 75 Tourist	Genuine
M042AI	Main Bearing(0.25)(0.50)	3L/5L/2L	Taiho
36225-60050	Shaft	LAND CRUISER 79	Aisin
16572-17150	Hose Pipe(lower)	LAND CRUISER 79	Digue
33368-35030	synchronizer ring (No 3)(old model)(0.50)	LAND CRUISER 79	Genuine
90311-45028	Seal (front diff)	LAND CRUISER 79	MK
54560-01j00	Big Arm bush	LAND CRUISER 79/ Nissan patrol	Koyo japan
M720AI	Main Bearing(0.25)(0.25)	1KD/2KD/1KZ	Taiho
90311-38047	Seal (diff)	LAND CRUISER 79	Genuine
04493-60300	BMC kit	Prado 1KD	Genuine
13711-30040	Intake Valve	2KD	GMB Japan
90389-14056	Rear Spring Bush	7L	Genuine
GWT-150A	Water Pump	1KD/2KD	Aisin
T729A	Thrust washer(0.25)(STD)	1TR/2TR	Taiho
31230-60201	Release Bearing(STD)	LAND CRUISER 79	Genuine
Ge	Brake Pads	Prado 1KD	Japan
SB-3972	Ball joint	7L	GMB Japan
90363-12010	Pilot Bearing	7L	Genuine
Wheel-Nut	LAND CRUISER 79	Genuine	Genuine
90385-11021	Rear Link Bush/eye Bush	LAND CRUISER 79	All Parts
13715-30030	Exhaust Valve	1HZ	Genuine
R122h	Con Bearing(STD)	4D34	555(Japan)
16361-17040	Fun	7L	Genuine
200701	Release Bearing(STD)	5L/3L	Nachi
04371-60060	Universal joint FRONT	5L/3L	Genuine
31204-36110	Fork	Prado 1KD	Genuine
DT-068V	Clutch plate	HIACE 5L/3L/ITR/2TR	Aisin
130011-3061	Piston rings	2KD	Koyo japan
17567-17020	Exhaust Mountain	5L/3L	Genuine
R039A	Con Bearing(0.50)	3L/5L/2L	Aisin
90385-18021	Front Rubber Spring Bush	LAND CRUISER 79	Digue
31410-60591	Upper clutch cylinder	LAND CRUISER 79	Digue
PT-152	Heater Plugs	LAND CRUISER 79 3L/5L	Koyo japan
04434-60080	Front Axle Gasket Kit	LAND CRUISER 79	OSK
APO72	Brake Pads	LAND CRUISER 70 Series	All Parts
47062-60020	Adjuster(Left hand)	Prado 1KD	Genuine
4094w	Axle bearing (without con)	LAND CRUISER 70 Series	Koyo japan
47550-60120	Wheel cylinder	LAND CRUISER 79	Koyo japan
12371-17080	Gearbox mounting	LAND CRUISER 70 Series	Genuine
33368-35040	synchronizer ring (No 4 old)	LAND CRUISER 70 Series	Genuine
35892	Piston rings(STD)	LAND CRUISER 79	Tp(Japan)
13101-54101	Piston(STD)	3L	Genuine
45044-69135	Tie rod Front	LAND CRUISER 79	Genuine
30304AJR	Knuckle bearing	5L/3L	Koyo japan
43212-60251	Knucle Steering(0.50)	LAND CRUISER 79	Genuine
33037-35030	Ring Synchronizer (No 1)	LAND CRUISER 70 Series	Genuine
R122h	Con Bearing(STD)	4D34	GMB Japan
T729A	Thrust washer(STD)	7L	Taiho
90311-48023	Seal (Gear transfer Front seal)	LAND CRUISER 79	Aisin
T720A	Thrust washer(0.25)	1HZ	Taiho
13711-54040	Exhaust Valve	LAND CRUISER 70 Series	Genuine
90311-85009	Seal(Rear crunk shaft)	3L/5L	All Parts
17201-30200	Turbo charger	LAND CRUISER 79	Super japan
31210-36330	Pressure Plate	LAND CRUISER 79	MK
12303-72010-IN	Gear Mounting	3L/5L	MK
T720A	Thrust washer(0.25)	1KD/2KD/1KZ	OSK
90389-22003	Rear Spring Bush	LAND CRUISER 79	All Parts
04479-60070	Caliper Kit Front	LAND CRUISER 75 Tourist	Genuine
23303-64019	Oil Filter	LAND CRUISER 79 3L	Digue
90385-18007	Rubber Spring Bush	HIACE 5L/3L	OSK
90311-35032	Seal (diff)	LAND CRUISER 75 Tourist	Genuine
17801-30040	Air filter	7L	Genuine
M729AI	Main Bearing(0.25)	1TR/2TR	MK
42323-60020	Conn washer(STD)	LAND CRUISER 79	Genuine
33037-35030	Ring Synchronizer (No 1)(0.25)	LAND CRUISER 79	Genuine
42323-60020	Conn washer	LAND CRUISER 70 Series	Genuine
