PART NUMBER	NAME	MAKE/MODEL	CATEGORY
17201-30200	Turbo charger	IKD	Genuine
90948-01004	Front Shock Bush	LAND CRUISER 79	GMB Japan
90311-65003	Seal(Injector seal)	1KD/2KD	555(Japan)
T037A	Thrust washer(0.25)	LAND CRUISER 79	Taiho
90311-32020	Seal(Cam shaft)	3L/5L 1HZ	All Parts
33212-35032	Fork (Number 1)	LAND CRUISER 79	Genuine
90310-36003	Seal (Rear tube seal)	LAND CRUISER 79	GMB Japan
45046-69135	Rear Tie Rod	Prado 1KD	Genuine
17801-30080	Air filter	1HZ	Genuine
R729A	Con Bearing(STD)	1TR/2TR	Digue
M042AI	Main Bearing(0.25)	3L/5L/2L	Koyo japan
90151-60013	Screw(water pump)	1HZ	Genuine
23390-51070	Fuel Filter	LAND CRUISER 79	GMB Japan
31204-36110	Fork	5L/3L	Genuine
43521-60011	Stopper axle nut	Prado 1KD	Genuine
90311-65003	Seal(Injector seal)	1KD/2KD	GMB Japan
PT-157	Heater Plugs	LAND CRUISER 79	MK
90363-35030	Transfer Input Bearing	LAND CRUISER 79	All Parts
33362-35030	Hub	LAND CRUISER 75 Tourist	Genuine
T037A	Thrust washer(0.50)	3L/5L/2L	Digue
04465-60340	Pad Kit Disc Brake Front	LAND CRUISER 79	MK
31470-60290	Lower clutch Cylinder	LAND CRUISER 79	555(Japan)
33368-35090	synchronizer ring (No 4 new)(0.50)	LAND CRUISER 79	Genuine
88440-35010	Ac Pulley	LAND CRUISER 79	555(Japan)
1620-17050(FCT-039)	Coupling/ Fan clutch	LAND CRUISER 79	Japan/Aisin
47201-60A70	Brake Master cylinder	1HZ	Genuine
48829-60080	Bracket(Left)	1HZ	Genuine
13711-17010	Intake Valve	LAND CRUISER 79	All Parts
13101-54101a	Piston	3L	555(Japan)
SWT10108ZZ	Piston rings(STD)	1HZ	NPR
15121-54020	Oil Gear	LAND CRUISER 79	Genuine
102949/10	Small Hub Bearing	LAND CRUISER 79	Koyo japan
GWT-91A	Water Pump	5L/3L	GMB Japan
3504	Release Bearing	2KD	Digue
31250-60432	Clutch plate	LAND CRUISER 79	Genuine
90311-45028	Seal (front diff)	LAND CRUISER 79	Digue
04495-60080	Brake Lining	LAND CRUISER 79 (NEW MODEL	GMB Japan
53510-60220	Bonnet Lock	7L	Genuine
90201-12019	Knucle washer	LAND CRUISER 79	GMB Japan
13041-17011-02	Con Bearing(STD)	5L/3L	Genuine
90368-45087	Wheel Bearing Outer	1HZ	Genuine
M087H	Main Bearing(0.50)	TD23/TD25/TD27	MK
90364-38012	Needle Bearing(gear)(0.25)	LAND CRUISER 79	Genuine
R729A	Con Bearing(0.50)	LAND CRUISER 70 Series	Taiho
11701-75033-02	Con Bearing(STD)	1TR	Genuine
1620-17050(FCT-039)	Coupling/ Fan clutch	LAND CRUISER 79	Aisin
T037A	Thrust washer(0.25)	5L/3L	Taiho
31470-60290	Lower clutch Cylinder	LAND CRUISER 79	GMB Japan
T720A	Thrust washer(0.50)(STD)	1KD/2KD/1KZ	Taiho
M720AI	Main Bearing(0.50)	1KD/2KD/1KZ	OSK
69802-60030	welding Machine(left hand)(automatic)	LAND CRUISER 70 Series	Genuine
90561-30005	Spacer	LAND CRUISER 79	GMB Japan
13103-30102	Piston(0.50)	2KD	Taiho
13711-54020	Intake Valve	HIACE 3L/79(IHZ)	Taiho
16100-39486	Water Pump	1KD/2KD	Aisin
48511-69676	Shock Absorber(Front)	LAND CRUISER 79	OSK
42323-60020	Conn washer(0.25)	LAND CRUISER 79	Genuine
12371-17080	Gearbox mounting	LAND CRUISER 79	Taiho
90389-14056	Rear Spring Bush	LAND CRUISER 79	MK
90385-13009	Front Link Bush/ Eye Bush	7L	Genuine
33368-35040	synchronizer ring (No 4 old)	LAND CRUISER 79	Taiho
90501-08212	Compression Spring	7L	Genuine
94115-71200	Knucle nut	LAND CRUISER 79	Koyo japan
33037-35030	Ring Synchronizer (No 1)	LAND CRUISER 75 Tourist	Genuine
69801-60030	Welding Machine(right hand)(automatic)	LAND CRUISER 79	Taiho
33037-35030	Ring Synchronizer (No 1)	LAND CRUISER 79	Taiho
096400-1500	Rotor Head	Prado 1KD	Koyo japan
13011-15050	Piston rings(STD)	Prado 1KD	Genuine
1620-17050(FCT-039)	Coupling/ Fan clutch	5L/3L	Japan/Aisin
23303-64019	Oil Filter	7L	OSK
KD2605	Brake Pads	7L	Taiho
M720AI	Main Bearing(0.50)(0.50)	1KD/2KD/1KZ	Taiho
04495-60070	Brake Lining	LAND CRUISER 79 (OLD MODEL	MK
31250-60432	Clutch plate	5L/3L	Genuine
15122-54020	Oil Gear	3L/5L	MK
PT-152	Heater Plugs	LAND CRUISER 79	Japan
GWT-150A	Water Pump	5L/3L	GMB Japan
90385-18022	Rear Rubber Spring Bush	LAND CRUISER 79	MK
90311-42036	Seal(Front timing seal)	3L/5L	MK
48815-60170	Front Stabilizer D Bush	LAND CRUISER 79	All Parts
M042AI	Main Bearing(STD)	3L/5L/2L	Aisin
M042AI	Main Bearing(0.50)	LAND CRUISER 75 Tourist	Taiho
104948/10	Big Hub Bearing	LAND CRUISER 79	555(Japan)
31210-36330	Pressure Plate	LAND CRUISER 79	Digue
36211-60090	Connector shaft(STD)	LAND CRUISER 79	Genuine
33364-60070	Sleeve Transmission	LAND CRUISER 79	Koyo japan
13711-30040	Intake Valve	2KD	OSK
096400-1500	Rotor Head	LAND CRUISER 79	Genuine
33368-35080	synchronizer ring (No 3)(new model)	Prado 1KD	Genuine
D2177M-01	Brake Pads	LAND CRUISER 75 Tourist	MK
90311-95008	Seal(Rear crunk shaft seal)	1HZ/2KD/1KD	Genuine
90311-32020	Seal(Cam shaft)	LAND CRUISER 70 Series	Genuine
M729AI	Main Bearing(0.25)	1TR/2TR	Digue
13711-54030	Intake Valve	HIACE 5L	MK
13011-75110	Piston rings(STD)	2TR	Koyo japan
33037-60050	Synchronizer ring (No 2)	LAND CRUISER 75 Tourist	Genuine
CTX-084	Pressure Plate	1KD/1HZ79	Taiho
36211-60090	Connector shaft	7L	Genuine
CTX-125	Pressure Plate	2KD	All Parts
90311-42036	Seal(Front crunk shaft seal)	LAND CRUISER 70 Series	Genuine
04495-60080	Brake Lining	7L	Genuine
SWT10108ZZ	Piston rings(STD)	4AC,4A-LC	Genuine
CTX-073	Pressure Plate	3L	MK
69810-60330	Welding Machine(manual)	LAND CRUISER 79(manual)	Genuine
17801-61030	Air filter	LAND CRUISER 75 Tourist	Genuine
90311-35032	Seal (diff)	3L/5L (4x4)	Aisin
90366-33006	Diff Bearing	LAND CRUISER 79	555(Japan)
4094w	Axle bearing (without con)	5L/3L/1KD	MK
R729A	Con bearing(0.25)	1TR/2TR	All Parts
T729A	Thrust washer(0.25)	1TR/2TR	Genuine
R122h	Con Bearing(STD)	4D34	OSK
16210-17070	Coupling/ Fan clutch	Prado 1KD	Genuine
90363-35030	Transfer Input Bearing	7L	Genuine
47061-60030	Adjuster(Right hand)	LAND CRUISER 79	Aisin
M729AI	Main Bearing(STD)	1TR/2TR	GMB Japan
53410-60100	bonnet hinge	LAND CRUISER 79	Genuine
90385-18021	Front Rubber Spring Bush(STD)	LAND CRUISER 79	Genuine
R729A	Con Bearing(STD)	1TR/2TR	OSK
13101-54101a	Piston(0.50)	3L	Japan
90214-42030	Stopper axle Washer	LAND CRUISER 79	Digue
13041-17011-02	Con Bearing(STD)(0.50)	LAND CRUISER 79	Genuine
17801-30040	Air filter	1KD/2KD	GMB Japan
R729A	Con Bearing(0.50)	1TR/2TR	Genuine
M087H	Main Bearing(0.50)	TD23/TD25/TD27	Digue
31232-36020	Clutch Release Clip	LAND CRUISER 75 Tourist	Genuine
90151-60013	Screw(water pump)	1TR/2TR	Digue
43207-60032	Knuckle kit/Blanket	7L	Karson
90948-01004	Front Shock Bush	LAND CRUISER 79	OSK
09340-6280	Nozzle	LAND CRUISER 79	Digue
DT-068V	Clutch plate	HIACE 5L/3L/ITR/2TR	MK
13013-54120	Piston rings(0.50)	1HZ	Genuine
GFT-223	Coupling/ Fan clutch	LAND CRUISER 79	Genuine
GUT-20	Universal joint	7L	GMB Japan
43212-60251	Knucle	LAND CRUISER 79	Genuine
T720A	Thrust washer(STD)	1KD/2KD/1KZ	Genuine
90310-36003	Seal (Rear tube seal)	LAND CRUISER 79	OSK
16572-17020	Hose Pipe(lower)	LAND CRUISER 79	All Parts
90364-38012	Needle Bearing(gear)	LAND CRUISER 79	Genuine
SB-3972	Ball joint	LAND CRUISER 70 Series	555(Japan)
23390-0L041	Fuel Filter	1KD/2KD	Genuine
47062-60020	Adjuster(Left hand)	LAND CRUISER 79	555(Japan)
R729A	Con Bearing(STD)	5L/3L	Taiho
90389-14056	Rear Spring Bush	LAND CRUISER 79	Digue
GUT-21	Universal joint	5L/3L	All Parts
T720A	Thrust washer(STD)	1HZ	Taiho
M729AI	Main Bearing(0.50)(STD)	1TR/2TR	Taiho
90311-65003	Seal(Injector seal)	1KD/2KD	OSK
15121-54020	Oil Gear	3L/5L	Taiho
46410-60850	Handbrake cable	1HZ	Genuine
16572-17150	Hose Pipe(lower)	LAND CRUISER 79	GMB Japan
04111-0C098	Overhaul gasket	LAND CRUISER 79	Genuine
04371-36050	Universal joint REAR	LAND CRUISER 79	All Parts
04371-60060	Universal joint FRONT	LAND CRUISER 75 Tourist	Genuine
M042AI	Main Bearing(0.25)(0.25)	3L/5L/2L	Taiho
K2280-01	Brake Lining	Prado 1KD	MK
90363-35020	Gear bearing	LAND CRUISER 79	Taiho
90363-35020	Gear bearing(0.50)	LAND CRUISER 79	Genuine
43530-60130	Wheel Hub	LAND CRUISER 79	MK
90310-35010	Seal (Front tube seal)	LAND CRUISER 79	Genuine
04495-60070	Brake Lining	LAND CRUISER 79 (OLD MODEL	Digue
33362-60031	hub	1HZ	Genuine
15122-54020	Oil Gear	3L/5L	Digue
M042AI	Main Bearing(0.25)	1HZ	Taiho
48511-69676	Shock Absorber(Front)	Prado 1KD	Genuine
04495-60080	Brake Lining	LAND CRUISER 79 (NEW MODEL	OSK
16210-17070	Coupling/ Fan clutch	5L/3L	Genuine
90201-12019	Knucle washer	LAND CRUISER 79	OSK
90311-32020	Seal(Cam shaft)	LAND CRUISER 75 Tourist	Genuine
90363-35030	Transfer Input Bearing(STD)	LAND CRUISER 79	Genuine
16100-39486	Water Pump	LAND CRUISER 70 Series	Genuine
M729AI	Main Bearing(STD)(0.50)	1TR/2TR	Taiho
45045-69075	Tie rod Front	LAND CRUISER 79	All Parts
31470-60290	Lower clutch Cylinder	LAND CRUISER 79	OSK
35892	Piston rings(0.50)	3L	Genuine
23380-17531	Feed Pump	LAND CRUISER 70 Series	Genuine
47061-60030	Adjuster(Right hand)	7L	Genuine
04469-YZZF6	Brake Pads	1HZ	Genuine
90916-02452	Fan belt(set)	LAND CRUISER 79	Genuine
90311-31084	Valve Seal	1TR/2TR	555(Japan)
90311-62001	Seal (Hub)	Prado 1KD	Musashi
90385-18021	Front Rubber Spring Bush	LAND CRUISER 79	GMB Japan
90561-30005	Spacer	LAND CRUISER 79	OSK
13101-54100a	Piston	2L	555(Japan)
GUT-20	Universal joint	LAND CRUISER 79(rear)	Genuine
31410-60591	Upper clutch cylinder	LAND CRUISER 79	GMB Japan
90915-YZZD4	Oil Filter	7L	Genuine
53420-60100	bonnet hinge	LAND CRUISER 79	Genuine
CTX-073	Pressure Plate	3L	Digue
90311-85009	Seal(Rear crunk shaft)	LAND CRUISER 79	Genuine
23303-64019	Oil Filter	LAND CRUISER 79 3L	555(Japan)
SE-2752	Tie Rod	5L/3L	555(Japan)
04495-60070	Brake Lining	LAND CRUISER 70 Series	Genuine
48674-26040	Control Arm Bush	7L	Genuine
33362-60031	hub	LAND CRUISER 79(New model	Genuine
90365-34005	Gear bearing	LAND CRUISER 79	Genuine
90311-62001	Seal (Hub)	1HZ	Genuine
104948/10	Big Hub Bearing	Prado 1KD	Koyo japan
48706-60030	Hard Pan Bush	7L	Genuine
36225-60050	Shaft	LAND CRUISER 79	Digue
30308DJR	Diff Bearing	LAND CRUISER 79	Genuine
43212-60251	Knucle	LAND CRUISER 79 New Model(left hand)	Aisin
23303-64019	Oil Filter	LAND CRUISER 79 3L	GMB Japan
48061-60050	Small Arm bush	LAND CRUISER 79	Koyo japan
T720A	Thrust washer(0.50)	LAND CRUISER 79	Taiho
43212-60251	Knucle Steering	LAND CRUISER 79	555(Japan)
17801-17020	Air filter	V8	MK
T729A	Thrust washer(STD)	1TR/2TR	Taiho
GWT-150A	Water Pump	1KD/2KD	Digue
1620-17050(FCT-039)	Coupling/ Fan clutch	LAND CRUISER 79	MK
K2280-01	Brake Lining	5L/3L	MK
DT-094L	Clutch plate	5L/3L	Japan(Aisin)
13715-30040	Exhaust Valve	2KD	555(Japan)
90368-45087	Wheel Bearing Outer	LAND CRUISER 79	Digue
33368-35090	synchronizer ring (No 4 new)	LAND CRUISER 79	Koyo japan
23390-51030	Fuel Filter	LAND CRUISER 79 New Model	Taiho
53410-60100	bonnet hinge	LAND CRUISER 79(right hand side)	Koyo japan
23390-51030	Fuel Filter	1HZ	Genuine
13101-54100a	Piston	7L	Japan
15122-54020	Oil Gear	LAND CRUISER 70 Series	Genuine
69820-60300	Welding Machine	1HZ	Genuine
90311-42036	Seal(Front timing seal)	LAND CRUISER 70 Series	Genuine
90311-31084	Valve Seal	7L	Genuine
T720A	Thrust washer(0.50)	1KD/2KD/1KZ	Koyo japan
31230-60201	Release Bearing(0.50)	LAND CRUISER 79	Genuine
17567-61030	Exhaust Mountain	LAND CRUISER 79	Genuine
17567-17020	Exhaust Mountain	LAND CRUISER 79	Koyo japan
CTX--064	Pressure Plate	5L/3L	Genuine
69810-60330	Welding Machine(manual)	LAND CRUISER 79(manual)	Aisin
43401-60080	Stopper Axle	Prado 1KD	Japan
M729AI	Main Bearing(0.25)	5L/3L	Taiho
R729A	Con Bearing(STD)	1TR/2TR	GMB Japan
DT-068V	Clutch plate	HIACE 5L/3L/ITR/2TR	Digue
69058-60141	Fuel cap	LAND CRUISER 79	Genuine
R720AI	Con bearing(0.25)	1KD/2KD/1KZ	Koyo japan
90389-22003	Rear Spring Bush	LAND CRUISER 70 Series	Genuine
R039A	Con Bearing(0.50)	3L/5L/2L	Digue
90365-34005	Gear bearing	5L/3L	Genuine
M720AI	Main Bearing(STD)	LAND CRUISER 70 Series	Taiho
23380-17451	Feed Pump	LAND CRUISER 70 Series	Genuine
33362-35030	Hub	LAND CRUISER 79(old model)	555(Japan)
90311-30014	Seal (Top shaft seal/bridge seal	3L/5L	Koyo japan
CTX--076	Pressure Plate	ITR/2TR	All Parts
90999-70067	Copper bush	LAND CRUISER 79	Genuine
T037A	Thrust washer(0.50)	3L/5L/2L	GMB Japan
53420-60100	bonnet hinge	LAND CRUISER 79 Left hand)	Genuine
90915-10004	Oil Filter	RAV 4	Taiho
13103-30102	Piston(0.50)	2KD	Aisin
48511-69435	Shock Absorber(Front long)	LAND CRUISER 79	555(Japan)
13711-54020	Intake Valve	HIACE 3L/79(IHZ)	Aisin
48531-69865	Shock Absorber(Rear)	LAND CRUISER 79	Taiho
90948-01004	Front Shock Bush	Prado 1KD	Genuine
3504	Release Bearing	2KD	GMB Japan
90311-41009	Seal (Rear diff)	LAND CRUISER 79	555(Japan)
90311-48023	Seal (Gear transfer Front seal)	LAND CRUISER 79	Digue
3504	Release Bearing(0.50)	2KD	NSK
90385-19003	Rear Shock Bush	1HZ	Genuine
T720A	Thrust washer(0.50)	5L/3L	Taiho
12371-17080	Gearbox mounting	LAND CRUISER 79	Aisin
CTX-073	Pressure Plate	Prado 1KD	Japan(Aisin)
33368-35040	synchronizer ring (No 4 old)	LAND CRUISER 79	Aisin
M042AI	Main Bearing(STD)	3L/5L/2L	MK
33364-60070	Sleeve Transmission	Prado 1KD	Genuine
LM48548/10	wheel bearing	Prado 1KD	Koyo japan
90310-36003	Seal (Rear tube seal)	Prado 1KD	Genuine
69801-60030	Welding Machine(right hand)(automatic)	LAND CRUISER 79	Aisin
104948/10	Big Hub Bearing	5L/3L	Koyo japan
33037-35030	Ring Synchronizer (No 1)	LAND CRUISER 79	Aisin
M042AI	Main Bearing(STD)	Prado 1KD	Taiho
90363-12010	Pilot Bearing	LAND CRUISER 79	Genuine
KD2605	Brake Pads	7L	Aisin
69810-60330	Welding Machine(manual)	Prado 1KD	Genuine
16361-17040	Fun	LAND CRUISER 79	Genuine
Ge	Brake Pads	V8	555(Japan)
17801-30040	Air filter	1KD/2KD	OSK
1620-17050(FCT-039)	Coupling/ Fan clutch	LAND CRUISER 75 Tourist	Japan/Aisin
13101-54101	Piston	1HZ	Genuine
23380-17531	Feed Pump	LAND CRUISER 75 Tourist	Genuine
23380-17541	Feed Pump	LAND CRUISER 79	Taiho
12649/10	front Wheel Bearing(0.25)	5L/3L	Koyo japan
90915-30002-8T	Oil Filter	LAND CRUISER 70 Series	Genuine
23390-0L041	Fuel Filter	1HZ	Genuine
15121-54020	Oil Gear	LAND CRUISER 75 Tourist	Genuine
04311-6100	Upper clutch kit	LAND CRUISER 79	Genuine
13711-17010	Intake Valve	LAND CRUISER 70 Series	Genuine
99332-11260	Fan belt	LAND CRUISER 70 Series	Genuine no 2
90311-48010	Seal (Gear transfer Rear seal)	5L/3L	Genuine
04479-60070	Caliper Kit Front	1HZ	Genuine
13715-30030	Exhaust Valve	1KD	Genuine
45044-69135	Tie rod Front	LAND CRUISER 79	MK
90311-35032	Seal (diff)	3L/5L (4x4)	MK
T729A	Thrust washer(STD)	LAND CRUISER 79	Taiho
90201-12019	Knucle washer	Prado 1KD	Genuine
90311-48022	Seal (Gear transfer Front seal)	7L	Genuine
M087H	Main Bearing(0.50)	7L	Taiho
43401-60080	Stopper Axle	5L/3L	Japan
DTX-172	Clutch plate	2KD	Genuine
30304AJR	Knuckle bearing	LAND CRUISER 79	555(Japan)
43521-60011	Wheel Bearing Adjustment Kit	LAND CRUISER 75 Tourist	Genuine
31232-36020	Clutch Release Clip	LAND CRUISER 79	All Parts
11115-17010-05	Cylinder Head Cover Gasket	LAND CRUISER 79	555(Japan)
M042AI	Main Bearing(0.50)(0.50)	3L/5L/2L	Taiho
47061-60030	Adjuster(Right hand)	LAND CRUISER 79	MK
16572-17150	Hose Pipe(lower)	LAND CRUISER 79	OSK
90385-11021	Rear Link Bush/eye Bush	LAND CRUISER 79	Taiho
200701	Release Bearing	5L/3L	Genuine
31210-36330	Pressure Plate	LAND CRUISER 79	GMB Japan
54560-01j00	Big Arm bush	LAND CRUISER 79/ Nissan patrol	555(Japan)
17801-30040	Air filter	LAND CRUISER 79	Genuine
48815-26060	Rear Stabilizer D Bush	LAND CRUISER 75 Tourist	Genuine
47550-60120	Wheel cylinder	7L	Genuine
33213-35040	Fork (Number 3 and 4)	5L/3L	Genuine
04234-68010	Fuel Filter	LAND CRUISER 75	Koyo japan
M729AI	Main Bearing(0.25)	1TR/2TR	GMB Japan
13711-54030	Intake Valve	7L	Genuine
90385-18022	Rear Rubber Spring Bush	5L/3L	Genuine
33212-35032	Fork (Number 1)	LAND CRUISER 79	MK
13011-15050	Piston rings(STD)(0.25)	5AF	Genuine
90311-85009	Seal(Rear crunk shaft)	3L/5L	Taiho
13011-15050	Piston rings(STD)	LAND CRUISER 75 Tourist	Genuine
130011-3061	Piston rings	2KD	555(Japan)
17801-17020	Air filter	Prado 1KD	Genuine
90385-18021	Front Rubber Spring Bush	LAND CRUISER 79	OSK
31410-60591	Upper clutch cylinder	LAND CRUISER 79	OSK
90389-22003	Rear Spring Bush	LAND CRUISER 79	Taiho
69801-60030	Welding Machine(right hand)(automatic)	7L	Genuine
DT-036V	Clutch plate	Prado 1KD	Japan(Aisin)
90126-12010	Knucle stud	LAND CRUISER 70 Series	Genuine
16100-39486	Water Pump	1KD/2KD	Digue
PT-152	Heater Plugs	LAND CRUISER 79 3L/5L	555(Japan)
47550-60120	Wheel cylinder	LAND CRUISER 79	555(Japan)
04434-60080	Front Axle Gasket Kit	LAND CRUISER 75 Tourist	Genuine
M087H	Main Bearing(0.25)	TD23/TD25/TD27	All Parts
200701	Release Bearing	LAND CRUISER 70 Series	Nachi
APO72	Brake Pads	1HZ	All Parts
4094w	Axle bearing (without con)	1HZ	Koyo japan
SE-2752	Tie Rod	LAND CRUISER 79	All Parts
90311-50051	Seal(Front crunk shaft seal)	1KD/2KD	Koyo japan
53510-60220	Bonnet Lock	LAND CRUISER 79	Genuine
33368-35040	synchronizer ring (No 4 old)	1HZ	Genuine
220-40582	Clutch kit Lower	5L/3L	Genuine
90311-32020	Seal(Cam shaft)	3L/5L 1HZ	Taiho
48706-60030	Hard Pan Bush	LAND CRUISER 70 Series	RBI
33037-35030	Ring Synchronizer (No 1)	1HZ	Genuine
23303-64019	Oil Filter	LAND CRUISER 79 3L	OSK
90214-42030	Stopper axle Washer	LAND CRUISER 79	GMB Japan
13711-54040	Exhaust Valve	1HZ	Genuine
15121-54020	Oil Gear	3L/5L	Aisin
90311-38047	Seal (diff)	LAND CRUISER 70 Series	Genuine
CTX-073	Pressure Plate	3L	Japan(Aisin)
R720AI	Con Bearing(0.50)	7L	Taiho
